State,cbsasub,areaname,median2017,lim50_17p1,lim50_17p2,lim50_17p3,lim50_17p4,lim50_17p5,lim50_17p6,lim50_17p7,lim50_17p8,Lim60_17p1,Lim60_17p2,Lim60_17p3,Lim60_17p4,Lim60_17p5,Lim60_17p6,Lim60_17p7,Lim60_17p8,HERA_Lim_type17,Lim50_HERA_17p1,Lim50_HERA_17p2,Lim50_HERA_17p3,Lim50_HERA_17p4,Lim50_HERA_17p5,Lim50_HERA_17p6,Lim50_HERA_17p7,Lim50_HERA_17p8,Lim60_HERA_17p1,Lim60_HERA_17p2,Lim60_HERA_17p3,Lim60_HERA_17p4,Lim60_HERA_17p5,Lim60_HERA_17p6,Lim60_HERA_17p7,Lim60_HERA_17p8,fips2010,statename,metro,county_town_name,stusps,county,county_name
6,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",75200,26000,29700,33400,37100,40100,43050,46050,49000,31200,35640,40080,44520,48120,51660,55260,58800,Regular,,,,,,,,,,,,,,,,,0606799999,CALIFORNIA,1,Sacramento County,CA,67,Sacramento County
6,METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",73400,29300,33450,37650,41800,45150,48500,51850,55200,35160,40140,45180,50160,54180,58200,62220,66240,Regular,,,,,,,,,,,,,,,,,0606999999,CALIFORNIA,1,San Benito County,CA,69,San Benito County
6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",63200,22600,25800,29050,32250,34850,37450,40000,42600,27120,30960,34860,38700,41820,44940,48000,51120,Regular,,,,,,,,,,,,,,,,,0607199999,CALIFORNIA,1,San Bernardino County,CA,71,San Bernardino County
6,METRO41740M41740,"San Diego-Carlsbad, CA MSA",79300,31850,36400,40950,45450,49100,52750,56400,60000,38220,43680,49140,54540,58920,63300,67680,72000,Regular,,,,,,,,,,,,,,,,,0607399999,CALIFORNIA,1,San Diego County,CA,73,San Diego County
6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",115300,46100,52650,59250,65800,71100,76350,81600,86900,55320,63180,71100,78960,85320,91620,97920,104280,Special,48450,55350,62250,69150,74700,80250,85750,91300,58140,66420,74700,82980,89640,96300,102900,109560,0607599999,CALIFORNIA,1,San Francisco County,CA,75,San Francisco County
6,METRO44700M44700,"Stockton-Lodi, CA MSA",61100,21400,24450,27500,30550,33000,35450,37900,40350,25680,29340,33000,36660,39600,42540,45480,48420,Regular,,,,,,,,,,,,,,,,,0607799999,CALIFORNIA,1,San Joaquin County,CA,77,San Joaquin County
6,METRO42020M42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",83200,28600,32700,36800,40850,44150,47400,50700,53950,34320,39240,44160,49020,52980,56880,60840,64740,Regular,,,,,,,,,,,,,,,,,0607999999,CALIFORNIA,1,San Luis Obispo County,CA,79,San Luis Obispo County
6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",115300,46100,52650,59250,65800,71100,76350,81600,86900,55320,63180,71100,78960,85320,91620,97920,104280,Special,48450,55350,62250,69150,74700,80250,85750,91300,58140,66420,74700,82980,89640,96300,102900,109560,0608199999,CALIFORNIA,1,San Mateo County,CA,81,San Mateo County
6,METRO42200M42200,"Santa Maria-Santa Barbara, CA MSA",73900,31500,36000,40500,45000,48600,52200,55800,59400,37800,43200,48600,54000,58320,62640,66960,71280,Regular,,,,,,,,,,,,,,,,,0608399999,CALIFORNIA,1,Santa Barbara County,CA,83,Santa Barbara County
6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",113300,41800,47800,53750,59700,64500,69300,74050,78850,50160,57360,64500,71640,77400,83160,88860,94620,Special,43050,49200,55350,61450,66400,71300,76200,81150,51660,59040,66420,73740,79680,85560,91440,97380,0608599999,CALIFORNIA,1,Santa Clara County,CA,85,Santa Clara County
